x,y
8.167291114687529330e-01,1.327190515143196636e+00
2.867164864197523366e-01,1.304852692381885726e+00
2.087953254719747687e+00,2.530197456915189713e-02
4.180267966637374877e-01,1.034951147574489916e+00
1.230035105838172882e+00,-1.270409263594976523e-01
2.987870506507133150e+00,8.199593028432008435e-01
4.579441873318754186e-01,-2.745680574604899005e-01
2.983863062919882125e+00,6.468502618114669867e-01
2.529107702959663584e+00,1.133953881930185981e+00
-1.452898490834174938e-01,4.737173246941248639e-01
2.274535093222995297e+00,1.371566223681351060e+00
-4.718477211933015392e-01,-1.670363031674034326e+00
5.491668214202033438e-01,8.986164084151165854e-01
8.992592131643780684e-01,2.167010100843081155e-01
-1.421928095432048789e+00,-1.120078312610000681e+00
6.671975971293142571e-01,8.809052273585054049e-01
1.219277634643365582e+00,-2.433789779639266293e-01
-9.603505886839712735e-01,-1.159421393205545936e+00
1.994473728708773486e+00,1.784522022794015950e+00
3.338193989570868325e+00,2.478447975649542112e+00
2.568707935190779779e+00,2.122673140529865332e+00
1.214309370168206836e+00,-2.167515798321922871e-01
1.520488602647558141e+00,1.809900538081916921e-01
3.634499481228545825e-01,1.687225278646231841e+00
4.798678426305532513e-02,7.069089814934077787e-02
2.094072413676568267e+00,1.095636240040344322e+00
2.241089344097108249e+00,2.208502307039628576e+00
4.061748734276399708e-01,1.180654334832206942e+00
-1.200417526417330571e-01,-1.513516615637678364e-01
1.464634486738978669e+00,2.183032878041507807e+00
3.364705846536845790e+00,2.157327054100732777e+00
1.565509448511276158e+00,2.317983188332473521e+00
2.485125464548746610e+00,1.102140602854948082e+00
-3.954119809318886736e-01,-4.327057648963925640e-01
2.915534550383667156e+00,2.267856199142483931e+00
-9.104189208494973817e-01,-6.942485535575220190e-01
2.841601664145132045e+00,1.386902061638523032e+00
3.267628070046293409e+00,1.792361364883694019e+00
-1.978505747754451538e-01,1.693649991234076890e-01
1.876274052088847455e+00,-2.094308413275744463e-01
8.827621210655086648e-01,1.508076437423317540e+00
-1.643263366251308533e-01,-2.536560543744116880e-01
3.969927708074436068e-01,1.272436252182111982e+00
2.722603227751168475e+00,1.518324116643058552e+00
2.977379115899196904e+00,2.096560773420667267e+00
1.769009476331893316e+00,1.623444488233886096e-01
-5.978347638795670216e-01,-9.082108321982101939e-01
3.145099772115886871e+00,2.383081430061968931e+00
6.373482911820743668e-01,1.369688925958664427e+00
